Unique ID,CG Number,E01,E12,E14,E15,E16,E17,E18,E20,A82,A84,A95,A131,A186,A377,A384,A398,avg_E,avg_A,log2FC,submitted_id,FBgn_ID
INC091B03,CG7852,2.90568,2.1854,1.8717,2.18181,1.90439,1.73847,2.17901,2.64786,2.00458,1.19774,2.02689,2.34449,1,2.49797,2.10669,1.92696,2.20179,1.888165,-0.221692033,CG7852,FBgn0035229
INC056H12,CG7856,1.34274,1.34771,1.06,1.29115,1.42546,1.2541,1.36731,1.34807,1.16696,1.21042,1.52663,1,1.09306,1.24703,1.23,1.31113,1.3045675,1.22315375,-0.092965831,CG7856,FBgn0033056
INC020H01,CG7860,1,1.40451,1.33883,1.41668,1.39729,1.35788,1.13873,1.10783,1.29511,1.10454,1.21224,1.52602,1.34177,1.35544,1.47135,1.26735,1.27021875,1.3217275,0.057347796,CG7860,FBgn0030653
INC016H01,CG7867,1.58823,1.65748,1.44907,1.52946,1.59976,1.75941,1.47468,1.57369,1.44737,1.40634,1,1.82811,1.51685,1.70427,1.64635,1.53041,1.5789725,1.5099625,-0.064473324,CG7867,FBgn0013718
INC021H03,CG7870,1.41451,1.42817,1.33637,1,1.61534,1.10338,1.26298,1.87656,1.53185,1.18325,1.23152,1.46558,1.00242,1.46567,1.02028,2.11059,1.37966375,1.376395,-0.003422142,CG7870,FBgn0261020
INC073H10,CG7872,1.91979,1.60906,1.03269,1.22332,1.25292,1.1122,1.61833,2.07098,1.7536,1.75424,1.68466,1.26944,1.81055,1.12003,1,1.14534,1.47991125,1.4422325,-0.037206902,CG7872,FBgn0030658
INC038H05,CG7874,1.60274,2.15144,2.43055,2.19776,1.88078,2.10512,1.51529,1.71101,2.07971,1.74813,1.3051,1.70973,2.37273,2.52513,2.27695,1,1.94933625,1.877185,-0.054412132,CG7874,FBgn0030999
INC061B06,CG7875,1.94217,1.40885,2.06574,1.49774,1.75608,1.16916,1.95697,1.58599,1.45301,1.38596,1,1.4338,1.08892,1.63675,1.58602,1.51897,1.6728375,1.38792875,-0.2693638,CG7875,FBgn0003861
INC092C04,CG7882,2.17107,2.06411,2.48331,2.16056,2.09957,2.30735,1.92936,1.46771,1.77299,2.45413,1,1.83108,1.70038,1.97137,2.38468,2.87306,2.08538,1.99846125,-0.061420698,CG7882,FBgn0033047
INC091H09,CG7886,1.78996,1.40095,1.27189,1.20099,1.08328,1.09908,1.25266,1.05952,1.28349,1.65336,1.71671,1.37343,1.36321,1.18532,1.12406,1,1.26979125,1.3374475,0.07489092,CG7886,FBgn0038248
INC111B02,CG7892,1.46648,1.40358,1.26484,1.26834,1.16547,1.21783,1.46757,1.56225,1.28339,1.31904,1,1.31541,1.076,1.2864,1.17024,1.23046,1.352045,1.2101175,-0.159996032,CG7892,FBgn0011817
INC088G02,CG7893,1.4973,1.22261,1.18505,1.41346,1.25778,1.45124,1.37338,1.46482,1.45577,1,1.17499,1.32071,1.22356,1.94686,1.49564,1.10504,1.358205,1.34032125,-0.019122419,CG7893,FBgn0040068
INC092D05,CG7896,1.37037,1.08663,1.2177,1.14462,1.14007,1.21134,1.23023,1.24904,1.05747,1.03308,1,1.11218,1.04274,1.1351,1.21219,1.01064,1.20625,1.075425,-0.165622027,CG7896,FBgn0039728
INC075A08,CG7904,1,1.29113,1.03968,1.00631,1.39286,1.36619,1.31505,1.50531,1.3667,1.52789,1.14851,1.06569,1.44881,1.3266,1.74711,1.63307,1.23956625,1.4080475,0.183860624,CG7904,FBgn0003169
INC121E04,CG7910,1.22654,1.34888,1.33876,1.23387,1.66233,1.39115,1.3669,1.41373,1.06597,1.71552,1,1.7048,1.13839,1.23514,1.36252,1.18501,1.37277,1.30091875,-0.07755907,CG7910,FBgn0037547
INC075D09,CG7916,1.63341,3.0949,1.82782,2.48951,2.07894,1,1.36117,2.48775,2.79505,3.25627,2.11063,2.32016,2.61628,3.26461,3.33877,3.34421,1.9966875,2.8807475,0.528834657,CG7916,FBgn0028534
